iter	Passed	Remaining
0	61	61308
1	61	30834
2	62	20654
3	62	15573
4	63	12538
5	63	10504
6	63	9044
7	64	7956
8	64	7119
9	65	6452
10	65	5902
11	66	5445
12	66	5051
13	66	4714
14	67	4419
15	67	4169
16	68	3945
17	68	3749
18	69	3566
19	69	3402
20	69	3256
21	70	3124
22	70	3001
23	71	2889
24	71	2784
25	71	2687
26	72	2597
27	72	2515
28	72	2437
29	73	2366
30	73	2300
31	74	2238
32	74	2180
33	74	2125
34	75	2073
35	75	2022
36	75	1975
37	76	1929
38	76	1888
39	77	1848
40	77	1812
41	77	1776
42	78	1741
43	78	1707
44	78	1675
45	80	1659
46	80	1633
47	80	1604
48	81	1577
49	81	1550
50	81	1524
51	82	1499
52	82	1475
53	83	1454
54	83	1433
55	83	1412
56	84	1392
57	84	1372
58	84	1355
59	85	1337
60	85	1319
61	86	1302
62	86	1286
63	86	1270
64	87	1255
65	87	1239
66	87	1225
67	88	1211
68	88	1197
69	89	1184
70	89	1172
71	89	1159
72	90	1146
73	90	1135
74	91	1123
75	91	1111
76	91	1100
77	92	1090
78	92	1081
79	93	1071
80	93	1061
81	94	1052
82	94	1040
83	94	1030
84	94	1021
85	95	1012
86	95	1003
87	96	995
88	96	986
89	96	978
90	97	971
91	97	963
92	98	955
93	98	948
94	98	941
95	99	933
96	99	927
97	100	920
98	100	914
99	100	907
100	101	900
101	101	894
102	102	888
103	102	882
104	102	875
105	103	869
106	103	863
107	103	858
108	104	851
109	104	846
110	104	840
111	105	834
112	105	828
113	106	824
114	106	820
115	106	814
116	107	809
117	107	805
118	108	800
119	108	795
120	108	790
121	109	785
122	109	780
123	109	775
124	110	771
125	110	767
126	110	762
127	111	758
128	111	753
129	112	749
130	112	745
131	112	741
132	113	738
133	113	734
134	114	731
135	114	727
136	114	723
137	115	720
138	115	716
139	116	713
140	116	709
141	116	704
142	116	700
143	117	697
144	117	693
145	117	689
146	118	688
147	118	684
148	119	682
149	119	679
150	120	677
151	120	673
152	121	670
153	121	667
154	122	665
155	122	662
156	122	659
157	123	656
158	123	653
159	123	650
160	124	646
161	124	643
162	124	641
163	125	639
164	125	636
165	126	633
166	126	630
167	126	628
168	127	625
169	127	623
170	128	620
171	128	618
172	128	616
173	129	613
174	129	610
175	129	607
176	130	605
177	130	603
178	131	601
179	131	598
180	132	597
181	132	596
182	133	594
183	133	591
184	133	589
185	134	587
186	134	585
187	134	582
188	135	580
189	135	579
190	136	577
191	136	575
192	137	573
193	137	571
194	137	569
195	138	567
196	138	565
197	139	563
198	139	561
199	139	559
200	140	557
201	140	555
202	141	553
203	141	551
204	141	549
205	142	547
206	142	546
207	142	544
208	143	542
209	143	540
210	144	539
211	144	537
212	144	535
213	145	534
214	145	532
215	146	530
216	146	529
217	147	527
218	147	525
219	147	524
220	148	522
221	148	520
222	148	518
223	149	516
224	149	514
225	149	513
226	150	511
227	150	510
228	151	509
229	151	507
230	151	505
231	152	503
232	152	502
233	152	500
234	153	499
235	153	497
236	154	496
237	154	494
238	154	493
239	155	491
240	155	489
241	155	488
242	156	486
243	156	485
244	156	483
245	157	481
246	157	480
247	157	478
248	158	477
249	158	475
250	158	474
251	159	472
252	159	471
253	160	470
254	160	468
255	160	467
256	161	465
257	161	464
258	161	463
259	162	461
260	162	460
261	162	458
262	163	457
263	163	456
264	163	454
265	164	453
266	164	451
267	164	450
268	165	449
269	165	447
270	165	446
271	166	445
272	166	443
273	167	442
274	167	441
275	167	439
276	168	438
277	168	437
278	168	436
279	169	434
280	169	433
281	169	432
282	170	431
283	170	429
284	170	428
285	171	427
286	171	426
287	171	424
288	172	423
289	172	422
290	172	421
291	173	419
292	173	418
293	174	417
294	174	416
295	174	415
296	175	414
297	175	413
298	175	411
299	176	410
300	176	409
301	176	408
302	177	407
303	177	406
304	177	405
305	178	404
306	178	403
307	179	402
308	179	401
309	179	400
310	180	399
311	180	398
312	180	397
313	181	395
314	181	394
315	181	393
316	182	392
317	182	391
318	182	390
319	183	389
320	183	388
321	184	387
322	184	386
323	184	385
324	185	384
325	185	383
326	185	382
327	186	381
328	186	380
329	186	379
330	187	378
331	187	377
332	187	376
333	188	375
334	188	374
335	189	373
336	189	372
337	189	371
338	190	372
339	191	371
340	191	370
341	191	369
342	192	368
343	192	367
344	192	366
345	193	365
346	193	364
347	194	363
